JUAN ;ALVA;ESPEJEL;VALLE DEL TESORO No 408 COL VALLE DE LAS PUENTES                                
ALEJANDRO ;ALBA;FERNANDEZ;MINA NO. 729, COLONIA CENTRO                                                    
CARLOS ;DE ALVA;FERNANDEZ;AV ROBLE No 555 COL VALLE DEL CAMPESTRE                                         
ALEJANDRO ;ALDAY;GONZALEZ;AVE. CHICHIMECO NO. 101, PARQUE INDUSTRIAL CHICHIMECO                           
JOSE ANTONIO;ALVAREZ;GOMEZ;RODRIGO ZURIAGA NO. 3509, COLONIA HIDALGO                                       
DAMARIS MONSERRAT;ARAGON;GARCIA;ESPINOSA No 829 ote CTRO CD                                                     
FARIDE;ASSAD;GOMEZ;LEON GUZMAN NO. 1209, COLONIA NUEVO REPUEBLO                                    
MARIA ISABEL;ARBALLO;GAMI�O;MADERO NO. 1701 PTE.  COLONIA CENTRO                                            
JORGE ADRIAN;AGRAZ;GODINEZ;AV PINO SUAREZ # 550 SUR CENTRO CD
JOSDENY ALELY;ALARCON;GONZALEZ;AV INSURGENTES No 1605 sur PISO 10 COL SAN JOSE INSURG.                         
JOSE LUIS;ALVARADO;GONZALEZ;ROBLE No 1252 COL DEL FRESNO
RAMON ;ALZATE;GOMEZ;AVE. MADERO NO. 517, COLONIA CENTRO                                             
RAUL ;ALVARADO;GARCIA;SINALOA NO. 711-A. COLONIA NUEVO REPUEBLO                                       
DORYSELA ;ALVAREZ;HERNANDEZ;GUILLERMO M. ALTAMIRANO NO. 103, COLONIA EL LECHUGAL                            
ILAN HUMBERTO;ANDRADE;HERRERA;LAZARO CARDENAS # 580-2 COL. ALAMOS                                             
JORGE ;ALMAZAN;HERNANDEZ;QUERETARO NO. 127, COLONIA ROMA                                                 
LETICIA ;AYALA;HERNANDEZ;AV.MORONES PRIETO # 1800 OTE. COL.CARACOL
MARCO ANTONIO;ARZATE;HERNANDEZ;SIMON BOLIVAR NO. 1010, COLONIA MITRAS CENTRO                                   
PLACIDO ;ALAMILLA;HERNANDEZ;AV.FELIX U.GOMEZ # 1512 NTE.  COL.TERMINAL
ERIKA GUADALUPE;ARANA;I�IGUEZ;NICARAGUA No 338 COL VISTAHERMOSA
LUIS MARTIN;ANAYA;IMAZIO;CARR A REYNOSA  KM 3.5 COL SAN SEBASTIAN                                        
VICTOR MISAEL;ANDRADE;JACOBO;DIEGO DE MONTEMAYOR No. 125-A NTE., CENTRO
JUAN JOSE;AMARO;LEMUS;ZUAZUA NO. 3740, COLONIA DEL NORTE                                              
MARIA ANGELICA;AMADOR;MEZA CALIX;DIEGO DIAZ DE BERLANGA NO. 905, COLONIA JARDINES DE ANAHUAC                     
MARTHA ;AYALA;;AV LAZARO CARDENAS No 2932 ote COL MIRADOR RES                                  
ALEJANDRO ;ALCALDE;MENDEZ;CARR NACIONAL Km 262 COL LOS CRISTALES                                          
AURORA DOLORES;ALVAREZ;MEDINA;FRESNO NO. 77 COLONIA ARBOLEDAS DEL MEZQUITAL                                   
CARLOS ;ALTAMIRANO;MOTA;RUIZ CORTINEZ NO. 2616 PTE, COLONIA MITRAS CENTRO                               
MARIA GUADALUPE;ANDRADE;MONTIEL;OLIVO No. 6367, COL. VALLE DEL TOPO CHICO
IRVING DAVID;ALFARO;MENDEZ;LINARES NO. 823, COLONIA CHAPULTEPEC                                            
JAIME ;ALVAREZ;MEDRANO;AV.EUGENIO GZA.SADA # 3800 SUR COL.MAS PALOMAS
LUIS FERNANDO;ALVA;MARTINEZ;WASHINGTON OTE. 629, COLONIA CENTRO                                             
PATRICIA ;ALMARAZ;MU�OZ;DISTRITO B3 No 260 COL LEONES                                                   
MARIA DEL ROCIO ;ARANDA;MONTIEL;PROL AV RUIZ CORTINEZ No 4444 COL POLICIA AUXILIAR                              
RAMIRO ;AYALA;MU�IZ;ANACLETO ZAPATA No 3015 COL GRANJITAS LA SILLA                                  
XOCHITL JUANA;ALAVEZ;MERCADO;MATAMOROS # 1009 PTE.CENTRO CD.
PEDRO DAMIAN;ARAMBULA;NAVA;AV CUAHTEMOC 335 NTE CENTRO CD                                                  
CARMEN ;ARAGON;OLIMAN;VANCOUVER NO. 156, COLONIA VISTA HERMOSA                                        
JOSE JAVIER;AMADOR;ORTEGA;AV MONTE DELOS OLIVOS#119 FRACC MONTE DE LOS OLIVOS
JOSE LUIS;ALATORRE;OROZCO;TOMAS ALVA EDISON No 176 COL SAN RAFAEL                                         
RUBEN MAURICIO;ARAGON;OLIMAN;GUERRERO 1133 NTE. COL. CENTRO
ADELA ;ALMAZAN;POLANCO;PLINIO NO 600 COL CONTRY LA SILLA                                               
ADRIANA LUCIA;ARGAIZ;PARRA;ALFONSO HERRERA No 75 COL SAN RAFAEL
ANGELA MARIANA;AVALOS;PEREZ;AV EUGENIO GARZA SADA No 2501 COL TECNOLOGICO
CLAUDIA ;ALVAREZ;PEREZ;VALLARTA NO 333 NTE CENTRO CD                                                   
DANIEL RENE;ALVAREZ;PEREZ;AV.DE LA JUVENTUD # 614 NTE.FRACC.IND.NOGALAR                                   
ERIKA ROSISMAELY;ALMADA;PALOMARES;AVE. EUGENIO GARZA SADA NO. 6336, COLONIA CIUDAD SATELITE                       
MARIA GUADALUPE;ALCANTARA;PEREZ;AV HIDALGO No 1675  COL OBISPADO                                                
HECTOR ;ALCANTARA;PALACIOS;AV COLON No 206 ote CTRO CD                                                     
MONICA ALEJANDRA;ALVAREZ;PEREYRA;COLON NO. 2810, COLONIA ACERO                                                   
OSCAR FRANCISCO;ALFARO;PEREZ;WASHINGTON PTE. 1082, COLONIA CENTRO                                            
MARIA REYNA EDITH;ALVAREZ;PEREZ;AV MIGUEL ALEMAN No 6062 COL LINDAVISTA                                         
ROSA IMELDA;ALVAREZ;PEREZ;AVGONZALITOS No 655 nte FRACC GONZALITOS                                        
ESTEBAN ENRIQUE ;ALVAREZ ;QUEZADA;AV CHAPULTEPEC No 972 COL CARACOL                                               
LORENA ;ALVARADO;QUEZADA;CARR SALTILLO MTY Km 69 No 570 COL INDALECIO VAZQUEZ                            
NATIVIDAD;ALVAREZ;QUIJADA;PRIV MARTIN DE ZAVALA No 302 sur COL NUEVAS COLONIAS                            
ARMANDO GONZALO;ALVAREZ;REINA;AVE. SAN NICOLAS NO. 4020, COLONIA DEL NORTE                                    
EMMA GUADALUPE;ALVAREZ;RATEIKE;AVE. COMUNICIACIONES NO. 702, COLONIA S.C.O.P.                                  
LAURA ;ANDRADE;RODRIGUEZ;AV RODRIGO GOMEZ No 1832 nte COL VALLE MORELOS                                  
LAURA FERNANDA;ALVA ;RUIZ CABA�AS ;CARR A REYNOSA Km 10 No 6020  FRACC REYNOSA                                     
MARGARITA HORTENSIA;AMADOR;REYES;AVE. CASA BLANCA NO. 1010, COLONIA CASA BLANCA                                  
MARTHA ANGELICA;ALVAREZ;RENDON;PRIV LOS PINOS Y PROL 5 DE FEBRERO COL SAN JAVIER                               
SONIA HAYDEE;AMADOR;RAMIREZ;AV I MORONES PRIETO No 2900 pte COL SERTOMA                                     
JOSE FRANCISCO;ANZA;SOLIS;RUPERTO MARTINEZ NO. 1345 OTE, COLONIA CENTRO                                   
ISABEL BEATRIZ;ALATORRE;SANCHEZ;PLAN DE PARACUARO No 4444 COL LA REPUBLICA                                      
ITZEL ZAC NICTE;DE ALBA;SANCHEZ;AVE. PENITENCIARIA NO. 2244, FRACCIONAMIENTO SIMON BOLIVAR                      
IVAN;ALTAMIRANO;SANCHEZ;HELECHOS No. 1890, COL. CERRO DE LA SILLA
JUAN DOMINGO;ABARCA;SALAS;FRANCISCO S. CARVAJAL No 1303 COL NIÑO ARTILLERO                                
KRISTIAN ;AYALA;SAN JUAN;PINO SUAREZ NO. 510 SUR, COLONIA CENTRO                                         
MARTIN ;ALCALA;SALGADO;AV RUIZ CORTINES No 5260-A ote COL ADOLFO PRIETO                                
MARIANNA ;ANDRADE;SARMIENTO;CARRETERA MIGUEL ALEMAN NO. 512, PARQUE INDUSTRIAL HUINALA                      
OSWALDO ;AZAMAR;SANCHEZ;AV PABLO A GONZALEZ No 705 pte COL MITRAS SUR                                   
PATRICIA ;AVALOS;SOLORZANO;AUTOPISTA CUOTA MTY-REYNOSA NO 9350-A PARQUE IND KALOS                          
SINDY SARAHI;ALMARAZ;SALDA�A;ALLENDE NO. 205 OTE., COLONIA CENTRO                                            
CAROLINA ;AMADOR;TELLO;ANTIGUO CAMINO AL MILAGRO NO. 303, COLONIA HACIENDA EL MILAGRO                  
JORGE ;AMADOR;TELLO;AV EUGENIO GZA SADA No 5980 sur COL MEDEROS
PATRICIA ;AYALA;TALAVERA;JUAN SALVADOR AGRAZ NO 101 COL SANTA FE                                         
RODRIGO ;ALVAREZ;TENORIO;AV GOMEZ MORIN No 787 COL DEL VALLE                                             
MARIA VICTORIA;ARAIZA;TORRES;CONSTITUYENTES DEL 57 NO. 2226-A, COLONIA PALBLO A. DE LA GARZA                 
ARTURO ;ALVAREZ;VELAZQUEZ;RADIODIFUSORAS NO. 7006  COLONIA SCOP                                           
MARIA ELENA;ALCARAZ;VELAZQUEZ;AVE. GONZALITOS NO. 329 NTE., COLONIA URDIALES                                  
FERNANDO;ALVARADO;VALENZUELA;CALZADA UNION No 1012 COL PARQUES DE TALAVERNA
ISRAEL MATIAS;ALVAREZ;VILLASE�OR;PRIV.SIERRA MADRE # 911       COL.OBISPADO                                      
JOSE LUIS;ALVARADO;VALENZUELA;REFORMA NO. 3091 PTE., COLONIA MITRAS NORTE                                     
MARGARITA ;ADAME;VALENTE;ECUADOR No. 2331 CONS. 827, COL. VISTA HERMOSA                                  
RAUL;ALVAREZ;VILLASE�OR;4a  ZONA No 714 COL CARACOL                                                     
JESSICA ;ALCAZAR;YLIZALITURRI;AVE. HIDALGO NO. 250 PTE. COLONIA CENTRO                                        
MARIA JUDITH;AVELAR;ALVAREZ;MONTES ROCALLOSOS No 505 SUR COL  RESIDENCIAL SAN AGUSTIN                       
JUAN AGUSTIN;ALBERRO;BEHOCARAY;AV CERRO DE LAS TORRES No 395 COL CAMPESTRE CHURUBUSCO
NANCY ;ANGELES;BAUTISTA;LIBRAMIENTO A CADEREYTA No. 100 CENTRO ALLENDE
ALEJANDRA ;AMEZCUA;CACHO;AVE. SAN DIEGO NO. 610, COLONIA INDUSTRIAL NOGALAR                              
DANIEL ;ARELLANO;CAVAZOS;CARLOS SALAZAR No 2003  pte CTRO CD                                             
EDUARDO ;ARREDONDO;CORTES;TEQUISQUIAPAN NO. 925, COLONIA JARDINES DE LA PASTORA                           
ROBERTO CARLOS;ARELLANO;CASTILLO;DIEGO DIAZ DE BERLANGA NO. 1724, COLONIA AQUILES SERDAN                         
INDIRA PATRICIA;AMENEYRO;DUARTE;AV BONIFACIO SALINAS No 245 COL MIGUEL ALEMAN                                   
JULIAN ;ADEM;DIAZ DE LEON;SOCRATES Y LINCOLN No 601 COL CONTRY LA SILLA                                   
JOSE ANTONIO ;ARCE ;Y ESCAMILLA;AV.EUGENIO GARZA SADA No. 2420  COL.TECNOLOGICO                                 
ALESSANDRA ESTEFANIA;ANGELES;ESCUDERO;JERONIMO TREVINO No 1060 CENTRO CD
LAURA ;AVENDA�O;ESCALONA;RIO PURIFICACION No 828 COL FATIMA                                              
NICOLASA ;ANGELES;ENRRIQUEZ;LAZARO CARDENAS No. 2660, COL. MIRADOR RESIDENCIAL
BEATRIZ ELSA;DEL ANGEL;GUTIERREZ;AV HIDALGO No 1842 pte COL OBISPADO
CRISTIAN GABRIEL;ARELLANO;GARCIA;AV HUMBERTO LOBO No 520 COL DEL VALLE                                           
DIANA EMELIT;ARENAS;GUTIERREZ;RIO GRANDE No 635  COL VILLAS DE ORIENTE                                        
DAESY ALICIA;ARELLANO;GARCIA;FRANCISCO CARVAJAL # 1111 COL NINO ARTILLERO
GABRIEL ;ARREDONDO;GASAMANS;TENAYUCA No 435 COL VALLE DE ANAHUAC
IGNACIO ;ARELLANO;GARCIA;JERONIMO TREVIÑO No 1349 ote CTRO CD                                            
ARTURO ;AVELARDE;HERNANDEZ;DR COSS No 748 nte CENTRO CD                                                    
LUIS FERNANDO;ARECHIGA;IBARRA;KERAMOS NO 403 COL DEL PRADO
ALICIA;ASCENCION;JERONIMO;JALISCO NO. 303, COLONIA INDEPENDENCIA                                          
OSCAR JAVIER;ANDREW;LOPEZ;CARRETERA MIGUEL ALEMAN NO. 102  KM 12.5                                        
MARIA ANGELICA;ARCE;MORA;GRAL TERAN No 106-C CENTRO SAN NICOLAS                                          
MARIA ELENA;ARENAS;MOJICA;JULIAN VILLARREAL # 1208 COL TERMINAL                                           
ESTHELA ;ANGELES;MANJARREZ;ARTEAGA NO 336 CENTRO CD                                                        
JUAN JOSE;ARCE;MARTINEZ;AV MOVIMIENTO OBRERO No 222 COL LOS TREVINO
JUAN FELICIANO;ASCENCIO;MOCTEZUMA;AVE. JORGE A. TREVIÑO NO. 507, COLONIA SAN IGNACIO                              
MARIA SUSANA;ARELLANO;MORALES;CARLOS SALAZAR NO. 1390 OTE., COLONIA CENTRO                                    
ARACELI ;ARREOLA;NAVA;WASHINGTON # 1142 OTE                                                           
HADA LINDA JAZMIN;AMEZCUA;ORELLANA;HIDALGO NO. 2262 PTE., COLONIA CENTRO                                           
ELIZABETH ;ARREGUIN;PE�A;JUAN ESCUTIA #919-A NTE COL OBRERA                                              
MONICA ROBERTA;ALEXANDER;PADILLA;HALLEY No 211 COL CONTRY                                                        
MARIEL ;ANGEL;PADILLA;AV. PASEO DE LOS LEONES No. 2934 COL CUMBRES 5o. SECTOR
FERNANDO ;ARREOLA;QUI�ONES;AV CENTRAL Mz 30  L-11 COL IND ALCE BLANCO                                      
ILSE BRENDA;AVELARDE;QUINTERO;PARQUE VIA No 198 COL  CUAUHTEMOC                                               
AGUSTIN ALBERDI;ANGELES;RIVERA;BLVD DIAZ ORDAZ Km 3.33 L-1 COL UNIDAD SAN PEDRO                                
EFRAIN ;DEL ANGEL;RAMIREZ;WASHINGTON No 1833 pte  CENTRO CD                                               
JORGE ;ACEVES;ROJAS;MM DEL LLANO NO. 1703 OTE., COLONIA CENTRO                                      
ADRIANA ;ANDRES;SILVA;AV SOLIDARIDAD No 8316 COL LOMA LINDA
MARIA LIZETT;ACEVES;SERRANO;PISAGUA No 579 COL VALLE DEL TEPEYAC
HERMANN ;ASCHENTRUPP;TOLEDO;ISAAC GARZA No 2423 ote  COL OBRERA                                             
MARIA DE LOS ANGELES ;ARRIOLA;AGUIRRE;SONORA SUR NO. 768, COLONIA NUEVO REPUEBLO                                      
GABRIEL ;ARIAS;ALMAGUER;HIDALGO. NO. 2306 PTE., COLONIA OBISPADO                                        
RAMIRO NOE;ARIAS;ALMAGUER;RIO GUADALQUIVIR No 104 COL DEL VALLE                                           
JUAN CARLOS;ARRIAGA;CORRALES;DURANGO NO. 420, COLONIA NUEVO REPUEBLO                                         
SILVIA ESBEYDI;ARIAS;CARMONA;AV LINCOLN # 6217 PTE COL PASEO DE LAS MITRAS
JUAN CARLOS;ARRIETA;ELOLA;COLOMBIA NO. 269, COLONIA VISTA HERMOSA                                         
DAVID ;ARIAS;FLORES;OCAMPO No 443 ote CENTRO CD                                                     
EDER CRISTIHAN;ARIAS;FRIAS;ALDAMA No 43 COL EMILIANO ZAPATA
ALEJANDRO ;ALPIZAR;GONZALEZ;AV.PINO SUAREZ # 550 SUR CTRO.CD.
ALEJANDRA;ARIAS;GUERRERO;ALEJANDRO DE RODAS No. 3102-A, COL. CUMBRES 8AVO. SECTOR                        
CARLOS SAUL;ARIAS;GUEVARA;CAUTITLAN NO. 905, COLONIA MITRAS CENTRO                                        
CLARA MARIA ;AMBRIZ;GARCIA;AVE. BENITO JUAREZ S/N, COLONIA CENTRO                                          
DOLORES ;AVILA;GOMEZ;PASEO DE LOS EXPLORADORES NO. 205, COLONIA CUMBRES 5TO. SECTOR                  
JULIO CESAR;ARRIOLA;GODINEZ;DR. COSS NO. 460, COLONIA CENTRO                                                
JOSE JUAN ;ARCILA ;GARCIA ;HERMOSILLO NO. 3205, COLONIA MITRAS CENTRO                                      
SALIM ;ALI MODAD;GONZALEZ;25 DE MAYO NO 4702 COL SAN MARTIN                                               
JUDITH MARCIA;ARRIETA;MUNGUIA;WASHINGTON PTE NO. 1833, COLONIA CENTRO                                         
LOURDES ;ARIAS;MACIAS;TERRANOVA # 416 COL.VISTA HERMOSA
BERTHA ALICIA;ARRIOLA;NU�EZ;LIBERTADO NO. 218 PTE. COLONIA CENTRO                                           
ARMANDO ;ARRIAGA;OCHOATEGUI;JERONIMO TREVINO # 764 OTE CENTRO CD                                            
ARMANDO ;ARRIAZOLA;PETO RUEDA;AVE. FUNDADORES NO. 951, COLONIA VALLE ORIENTE                                  
ADEKEMI ASABI;ALLIU;ROJAS;DEGOLLADO No 613-1 nte CTRO CD                                                  
MARTHA ELENA DE LA CRUZ;ARCINIEGA;RUBIO;PRIVADA HIDALGO NO 110 CENTRO SAN PEDRO                                         
ROCIO DEL CARMEN ;ARCINIEGA;SANCHEZ;FACTORES MUTUOS NO. 3570, COLONIA LEONES                                        
LUCELBA ;ALPIDE;TORRES;CALZADA SAN PEDRO No 223  L-8  COL MIRAVALLE                                    
PAULA PATRICIA ILEANA;ARIZPE;DEL VALLE;4a PRIVADA No 3535 COL NUEVA MADERA                                             
VICTOR ADOLFO;ARRIAGA;WEISS;FLORIDA No. 930-B, COL. VALLE DE CHAPULTEPEC                                    
CAMILA DEL CARMEN ;AVI�A;ZAVALA;JIMENEZ NO. 614, COLONIA LOS SAUCES                                             
FRANCISCO;ANTONIO;ALFONSO;PUERTA DEL SOL No 463 COL COLINAS DE SAN JERONIMO                               
JOSE PABLO;ALONSO;ALCOCER;HOLBEIN No 174 COL CD DE LOS DEPORTES                                           
ABELARDO;ALMONTE;BUENAVENTURA;CARR NACIONAL Km  271 COL LA ESTANZUELA                                         
CLAUDIA ARACELI;ARROYO;CARREON;LOS LLANOS No 6912 COL MOCTEZUMA
XIOMARA VANESSA;ACOSTA;CHAVEZ;RAUL CABALLERO ESCAMILLA No. 361, COL. LAZARO CARDENAS AGROP.
YENNI ARACELI;ABONCE;CARRILLO;BLVD. GUSTAVO DIAZ ORDAZ NO. 3057, COL. SANTA MARIA                             
LIDIA TERESA;ABOITES;ENRIQUEZ;PEDRO MARTINEZ # 1504 COL NUEVO REPUEBLO
CAMILO ;ALONSO;FELIX;PUEBLA No 112 COL CELESTINO GASCA
SANDRA ;ARCOS;FLORES;AV MIGUEL ALEMAN No 318 COL NUEVA LINDAVISTA                                    
TEODORO ;ALONSO;FERNANDEZ;JUAN MENDEZ NO 132 CTRO CD                                                      
LYDIA ;ANTONIO;DE LA GARZA;GUADALAJARA No 910 COL MITRAS SUR                                               
GUIDO AGUSTIN;AROCHI;MILLAN;AV CHAPULTEPEC #700 BOD100 CENTRAL ABASTOS MTY
JORGE ;AMOR;MENDEZ;EMILIO CARRANZA No 542 nte CENTRO CD                                            
ROSALINDA ;ALONSO;MACIAS;DIEGO DE MONTEMAYOR No 3018 -A  COL VICTORIA                                    
LUIS ALBERTO;ANCONA;NAVARRETE;AVE. LAZARO CARDENAS NO. 420A, COLONIA EL SABINO                                
JOAQUIN ;ANTONIO;OGARRIO;AV LOPEZ MATEOS No 4719 COL BUROCRATAS FED
PABLO ADRIAN;ARROCHA;OLABUENAGA;NOGAL No 2908 COL BOSQUES DEL CONTRY                                            
LUCIA ;ANTONIO;PEREZ;AVE. LAS AMERICAS NO. 908, COLONIA LEON XIII                                    
MARITZA ;ALONSO;REYES;BOLIVIA NO 2313 FRACC DESARROLLO LAS TORRES`91                                  
MONICA ISELA;ARROYO;RINCON;RUPERTO MARTINEZ # 350 PTE.CTRO.CD.
RAUL;ACOSTA;ROJAS;CARRETERA NACIONAL KM 267, COLONIA EL ENCINO                                    
RODRIGO ;ALCOCER;URUETA;MARTIN CARRERA No 617 COL HIDALGO                                               
NORMA ;ANG;SANCHEZ;INDEPENDENCIA No 705 pte CTRO CD GPE                                            
ADOLFO;AYUSO;AUDRY;AVE. REVOLUCION SUR NO. 113, COLONIA BUENOS AIRES                               
FRANCISCO ;AGUIRRE;ALFARO;PRIVADA OLMAN No 605 COL LOMAS ANAHUAC                                          
HECTOR GUSTAVO;AGUIRRE;ANGULO;CARRET. A COLOMBIA No. 1205, COL. CASA BELLA
JORGE ALBERTO;AGUILAR;ARCINIEGA;NUEVO LEON NO. 510, COLONIA INDEPENDENCIA                                       
MARIA LUZ;ABURTO;ARTEAGA;COSTA RICA NO 528-A COL NUEVO AMANECER                                          
MIGUEL MARTE;AGUIRRE;AGUIRRE;PARICUTIN # 550 COL.NUEVO REPUEBLO                                              
NORMA EDITH;AGUILAR;ANDRADE;8 DE MAYO # 9 INT-1 COL MANUEL AVILA CAMACHO
NINIVE SELENE;AGUILERA ;ALFIERO;2 de ABRIL No 2119-A COL ROMA                                                   
BERNARDO;AGUILAR;CALVO;ESTADOS UNIDOS NO. 112, COLONIA RINCON DE LA SIERRA                             
GILBERTO JAVIER;AGUILAR;CUEVAS;AVE. MANUEL L. BARRAGAN NO. 100 A L6B, COLONIA CASA BELLA                       
RODRIGO ;ANGUIANO ;CORTES;AGRICOLA NO. 3908, COLONIA AGRICOLA                                             
DANIELA;AGUILAR;ENRIQUEZ;TOMAS STERN ELIOT No 2093 COL CONTRY SOL 2o SECTOR                              
ALBERTO ;AURA;GONZALEZ;SIMON BOLIVAR No 1208 nte COL MITRAS CENTRO                                     
ANGEL GABRIEL;AGUILAR;GARCIA;SERAFIN PEÑA NO. 325 NTE., COLONIA CENTRO                                       
FRIDA SOFIA;AGUIRRE;GARCIA;MONTA ACONCAGUA NO. 103, COLONIA FRANCISCO G. SADA                              
JANETTE ;AGUILAR;GARCIA;CALLEJON DE STO.DOMINGO # 114-B COL. LA GRANGE                                  
SERGIO ARTURO;AGUIRRE;GAMBOA;RIO NAZAS NO 2101 FRACC BERNARDO REYES                                          
LAURA GUADALUPE;ANGULO;HERNANDEZ;AV MOVIMIENTO OBRERO No 222 COL LOS TREVINO
MONICA LOURDES ;AGUILAR;HERRERA;AV. VASCONCELOS No. 150 SUR, COL. DEL VALLE                                     
MIGUEL ANGEL;AGUILERA;HERNANDEZ;20 DE OCTUBRE NO. 1207, COLONIA FRANCISCO I. MADERO                             
ANGELA ;AGUILAR;LOPEZ;PROLONGACION CUAUHTEMOC NO. 2206 NTE., COLONIA BELLA VISTA                      
CAMILO;AGUILAR;LOPEZ;PUERTA DEL SOL # 219-5 COL.COLINAS DE SAN JERONIMO
JORGE ;ARCHUNDIA;LOPEZ;CARR MONTERREY LAREDO Km 36.5 CIENEGA DE FLORES                                 
KARLA LORENA;AZUA;LOPEZ;HELEODORO PEREZ NO. 3480, COLONIA VENUSTIANO CARRANZA                           
ROSA ISELA;AGUADO;LOPEZ;TLAQUEPAQUE No 110 COL MITRAS SUR                                               
ELOY ;AGUILAR;MARQUEZ;PROL JERONIMO TREVINO No 2740-2 COL CHEPEVERA
JAVIER ;AGUILAR;MORALES;JULIAN VILLARREAL No 814 nte CTRO CD                                            
MARIANA ;AGUILAR;MENDOZA;VIRGILIO GARZA No 150 COL CHEPEVERA                                             
NAOMI;ABURTO;MUCI�O;ALFREDO GARZA RIOS NO. 1300, COLONIA ARTURO B. DE LA GARZA                      
RODOLFO ;AGUILAR;MELLADO;AV.CENTRAL # 704-D ALTOS COL.CHAPULTEPEC
JULIO CESAR;AZUARA;NAJERA;ALFONSO REYES No 3013 FRACC BERNARDO REYES                                      
ANA AURENY;AGUIRRE;O SUNZA;AV PABLO A GONZALEZ GARZA No 444 COL SAN JERONIMO                               
CHRISTIAN DANIEL;ALTUZAR;OROZCO;MARTIN CARRERA No 810 pte COL HIDALGO                                           
DANIEL ;AGUADO;ORNELAS;MOISES SAENZ No 1116 ALTOS COL LEONES
MARICELA ;ARGUELLO;ORTIZ;PARAISO # 419 COL PARAISO
SADRAC ;AUSTRIA;PEREZ;PRIVADA RHIN NO. 647, COLONIA MIRADOR                                           
AMPARO ERENDIRA;ANGUIANO;RODRIGUEZ;ARISTA No 3404 COL DEL NORTE                                                    
MARIA ANTONIETA;AGUILAR;ROMERO;JUAN SANCHEZ AZCONA NO. 209, COLONIA DEL NORTE                                  
ISRAEL ;ARGUETA ;RODRIGUEZ;CARRETERA A LAREDO # 101 CENTRO SAN NICOLAS                                     
JOSE OMAR;AGUILAR;RAMIREZ;PRIVADA SANCHEZ AZCONA NO. 706, COLONIA DEL NORTE                               
ROSA MAGDALENA;AGUILAR;RAMOS;AVE. PABLO A. DE LA GARZA NO. 1727, COLONIA ARGENTINA                           
IFIGENIA ;ARGUETA;SANCHEZ;AV PEÑA GUERRA No 417 COL PEÑA GUERRA                                           
